id_grade,lat_centroide,lon_centroide,populacao,domicilios,bairro,tipo_local,zona,area_km2,municipio,cd_municipio
1KME6163N8928,-21.36787,-42.756795,0,0,Pedra Linda,localidade rural,rural,1.0005,Cataguases,3115300
1KME6162N8928,-21.368232,-42.766448,19,4,São Manoel do Guaiaçu,distrito urbano,rural,1.0005,Cataguases,3115300
1KME6186N8927,-21.368465,-42.53439,3,1,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6161N8928,-21.368594,-42.776101,0,0,Dona Euzébia,distrito rural,rural,1.0005,Cataguases,3115300
1KME6185N8927,-21.368834,-42.544043,4,2,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6184N8927,-21.369203,-42.553696,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6183N8927,-21.369571,-42.563348,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6182N8927,-21.36994,-42.573001,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6181N8927,-21.370308,-42.582654,7,2,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6180N8927,-21.370675,-42.592306,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6179N8927,-21.371043,-42.601959,13,6,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6178N8927,-21.37141,-42.611612,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6177N8927,-21.371776,-42.621265,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6176N8927,-21.372143,-42.630917,1,1,Hermenegildo Marote,bairro,rural,1.0007,Cataguases,3115300
1KME6175N8927,-21.372509,-42.64057,63,23,Hermenegildo Marote,bairro,rural,1.0007,Cataguases,3115300
1KME6174N8927,-21.372874,-42.650223,6,2,Hermenegildo Marote,bairro,urbana,1.0007,Cataguases,3115300
1KME6173N8927,-21.37324,-42.659876,2,1,São João,bairro,urbana,1.0007,Cataguases,3115300
1KME6172N8927,-21.373605,-42.669529,581,221,Hermenegildo Marote,bairro,urbana,1.0006,Cataguases,3115300
1KME6171N8927,-21.37397,-42.679182,3154,1250,São Sebastião,bairro,urbana,1.0006,Cataguases,3115300
1KME6170N8927,-21.374334,-42.688835,4660,1789,Pouso Alegre,bairro,urbana,1.0006,Cataguases,3115300
1KME6169N8927,-21.374699,-42.698488,4084,1571,Jardim Bandeirantes I,bairro,urbana,1.0006,Cataguases,3115300
1KME6168N8927,-21.375063,-42.708141,2197,883,Horto Florestal,bairro,urbana,1.0006,Cataguases,3115300
1KME6167N8927,-21.375426,-42.717794,15,4,Alto Belém,localidade rural,urbana,1.0006,Cataguases,3115300
1KME6166N8927,-21.375789,-42.727447,6,2,Imê Farage,bairro,urbana,1.0006,Cataguases,3115300
1KME6165N8927,-21.376152,-42.7371,6,2,Imê Farage,bairro,urbana,1.0006,Cataguases,3115300
1KME6164N8927,-21.376515,-42.746753,12,3,Pedra Linda,localidade rural,rural,1.0005,Cataguases,3115300
1KME6163N8927,-21.376877,-42.756407,14,5,Pedra Linda,localidade rural,rural,1.0005,Cataguases,3115300
1KME6162N8927,-21.377239,-42.76606,29,10,São Manoel do Guaiaçu,distrito urbano,rural,1.0005,Cataguases,3115300
1KME6186N8926,-21.377472,-42.533995,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6161N8927,-21.377601,-42.775713,5,2,São Manoel do Guaiaçu,distrito urbano,rural,1.0005,Cataguases,3115300
1KME6185N8926,-21.377841,-42.543647,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6184N8926,-21.37821,-42.5533,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6183N8926,-21.378578,-42.562953,11,3,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6182N8926,-21.378946,-42.572606,0,0,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6181N8926,-21.379314,-42.582259,3,2,Aracati de Minas,distrito urbano,rural,1.0008,Cataguases,3115300
1KME6180N8926,-21.379682,-42.591912,1,1,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6179N8926,-21.380049,-42.601566,3,2,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6178N8926,-21.380416,-42.611219,0,0,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6177N8926,-21.380783,-42.620872,3,2,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6176N8926,-21.38115,-42.630525,8,3,Aracati de Minas,distrito urbano,rural,1.0007,Cataguases,3115300
1KME6175N8926,-21.381516,-42.640178,73,31,Hermenegildo Marote,bairro,rural,1.0007,Cataguases,3115300
1KME6174N8926,-21.381881,-42.649831,0,0,Hermenegildo Marote,bairro,rural,1.0007,Cataguases,3115300
1KME6173N8926,-21.382247,-42.659485,0,0,São João,bairro,urbana,1.0007,Cataguases,3115300
1KME6172N8926,-21.382612,-42.669138,2,1,São João,bairro,urbana,1.0006,Cataguases,3115300
1KME6171N8926,-21.382977,-42.678791,325,129,José Gabriel de Passos,bairro,urbana,1.0006,Cataguases,3115300
1KME6170N8926,-21.383342,-42.688444,3780,1632,Bela Vista,bairro,urbana,1.0006,Cataguases,3115300
1KME6169N8926,-21.383706,-42.698098,4022,1614,Morada da Serra,bairro,urbana,1.0006,Cataguases,3115300
1KME6168N8926,-21.38407,-42.707751,6004,2246,Izabel Tavares,bairro,urbana,1.0006,Cataguases,3115300
1KME6167N8926,-21.384433,-42.717405,215,72,Imê Farage,bairro,urbana,1.0006,Cataguases,3115300
1KME6166N8926,-21.384797,-42.727058,16,5,Imê Farage,bairro,urbana,1.0006,Cataguases,3115300
1KME6165N8926,-21.38516,-42.736711,0,0,Ana Carrara,bairro,urbana,1.0006,Cataguases,3115300
1KME6164N8926,-21.385522,-42.746365,18,8,Barão de Camargos,localidade rural,rural,1.0005,Cataguases,3115300
